code, name
21097110,Betania Magdalena
21137050,Angosturas Magdalena
21097070,Pte.Santander Magdalena
21047010,Balseadero  Magdalena
21237010,Narino Magdalena
21137010,Purificacion Magdalena 
21237020,Arrancaplumas Magdalena
23037010,Pto.Salgar Magdalena
23097040,Pto.Inmarco Magdalena
23097030,Pto.Berrio Magdalena
23157030,B.bermeja Magdalena
23217020,Gamarra Magdalena
23187010,Pto.Wilches Magdalena
23127020,Pto.Araujo Magdalena
23207040,San Pablo Magdalena
25027020,El Banco Magdalena
25027450,Plato Magdalena
25027680,Magangue Bzo.Loba
25027530,Barbosa Bzo.Loba
29017010,Tenerife Magdalena
29037080,Gambote C.Dique
29037020,Calamar Magdalena
29047080,Darcena Barranquilla
25027370,Santa Ana Brazo Mompos
21097120,La Esperanza Magdalena
21017040,Salado Blanco Magdalena
23217030,El Contento  Magdalena
23167010,Penas Blancas  Magdalena
23187280,Sitio Nuevo   Maddalena
23207050,La Nobleza  Bzo Morales
25027360,Armenia Brazo loba
25027930,Coyongal Brazo Loba
25027490,Las Aguadas Magdalena
25027330,Penoncito Magdalena
25027320,San Roque Magdalena

